drug	arc	GROUP_CONCAT(cyp)
abemaciclib	1	3A457
abiraterone	1	3A457
abiraterone	2	2C8,2D6
acalabrutinib	1	3A457
acetaminophen	1	1A2,2E1
alectinib	1	3A457
alfentanil	1	3A457
alprazolam	1	3A457
alprenolol	1	2D6
amfetamine	1	2D6
amiodarone	2	1A2,2C9,2D6,3A457
amitriptyline	1	1A2,2C19,2C9,2D6,3A457
amlodipine	1	3A457
amodiaquine	1	2C8
aniline	1	2E1
apixaban	1	3A457
apremilast	1	1A2
aprepitant	4	3A457
aripiprazole	1	3A457
aripiprazole	4	2D6
armodafinil	2	2C19
artemisinin	5	2B6
astemizole	1	3A457
atomoxetine	1	2C19,2D6
atomoxetine	2	3A457
atorvastatin	1	3A457
avanafil	1	3A457
axitinib	1	3A457
azilsartan	1	2C9
benzene	1	2E1
boceprevir	4	3A457
bosutinib	1	3A457
brexpiprazole	1	2D6,3A457
brigatinib	5	3A457
brivaracetam	1	2C19
broccoli	3	1A2
brussel_sprouts	3	1A2
buprenorphine	2	3A457
bupropion	1	2B6
bupropion	2	2D6
buspirone	1	3A457
caffeine	1	1A2,3A457
capecitabine	4	2C9
carbamazepine	3	1A2,2B6,2C19,2C9
carbamazepine	5	3A457
cariprazine	1	2D6,3A457
carisoprodol	1	2C19
carvedilol	1	2D6
celecoxib	1	2C9
celecoxib	2	2D6
ceritinib	2	2C9
ceritinib	4	3A457
cerivastatin	1	2C8,3A457
chargrilled_meat	3	1A2
chloramphenicol	2	3A457
chloramphenicol	4	2C19
chlorpheniramine	1	3A457
chlorpheniramine	4	2D6
chlorpromazine	4	2D6
chlorzoxazone	1	2E1
cilostazol	1	3A457
cimetidine	2	1A2,2C19,2D6,3A457
cinacalcet	2	2D6
ciprofloxacin	2	1A2,3A457
cisapride	1	3A457
citalopram	1	3A457
citalopram	2	1A2
citalopram	4	2C19,2D6
clarithromycin	4	3A457
clemastine	2	2D6
clobazam	1	2B6,2C19
clobazam	2	2D6
clobazam	5	3A457
clomipramine	1	1A2,2C19
clomipramine	4	2D6
clonidine	1	2D6
clopidogrel	1	2C19,2C9,3A457
clopidogrel	2	2B6,2C8
clozapine	1	1A2
cobimetinib	1	3A457
cocaine	1	3A457
cocaine	2	2D6
codeine	1	2D6,3A457
colchicine	1	3A457
copanlisib	1	3A457
crizotinib	4	3A457
cyclobenzaprine	1	1A2
cyclophosphamide	1	2B6,2C19
cyclosporine	1	3A457
dabrafenib	1	2C8
dabrafenib	3	2B6,2C9
dabrafenib	5	3A457
daclatasvir	1	3A457
dapsone	1	3A457
debrisoquine	1	2D6
deferasirox	2	2C8
deflazacort	1	3A457
delavirdine	2	3A457
desipramine	1	2D6
dexamethasone	1	3A457
dexamethasone	3	2D6
dexfenfluramine	1	2D6
dextromethorphan	1	2D6,3A457
diazepam	1	2C19,3A457
diclofenac	1	2C9
diltiazem	4	3A457
dimethyl_formamide	1	2E1
diphenhydramine	2	2D6
disulfiram	2	2E1
docetaxel	1	3A457
dolutegravir	1	3A457
domperidone	1	3A457
donepezil	1	2D6
doxepin	1	1A2,2C19,2C9,3A457
doxepin	4	2D6
doxorubicin	2	2D6
duloxetine	1	1A2
duloxetine	4	2D6
efavirenz	2	1A2,2C9
efavirenz	3	2C19,3A457
efavirenz	5	2B6
elagolix	5	3A457
elbasvir	1	3A457
eliglustat	1	2D6,3A457
encainide	1	2D6
enflurane	1	2E1
entrectinib	2	3A457
enzalutamide	1	2C8
enzalutamide	3	2C19,2C9
enzalutamide	5	3A457
eplerenone	1	3A457
ergotamine	1	3A457
erythromycin	4	3A457
escitalopram	1	2C19,3A457
escitalopram	4	2D6
eslicarbazepine	3	3A457
esomeprazole	4	2C19,3A457
estradiol	1	1A2,3A457
estradiol	2	2C19
ethanol	5	2E1
felbamate	2	2C19
felodipine	1	3A457
fenofibrate	2	2C9
fentanyl	1	3A457
finasteride	1	3A457
flecainide	1	2D6
flibanserin	1	2C19,3A457
fluconazole	2	2C9,3A457
fluoxetine	1	2C9
fluoxetine	2	2C19,3A457
fluoxetine	4	2D6
fluvastatin	4	2C9
fluvoxamine	1	2D6
fluvoxamine	2	2C19,2C9,3A457
fluvoxamine	4	1A2
gemfibrozil	2	2C8
gestodene	2	3A457
glimepiride	1	2C9
glipizide	1	2C9
glyburide	1	2C9
grapefruit_juice	2	3A457
halofantrine	2	2D6
haloperidol	1	1A2,3A457
haloperidol	4	2D6
halothane	1	2E1
hexobarbital	1	2C19
hydrocortisone	1	3A457
hydroxyzine	2	2D6
ibrutinib	1	2D6,3A457
ibuprofen	1	2C9
idelalisib	4	3A457
ifosfamide	1	2B6
imatinib	4	3A457
imipramine	1	1A2,2C19,2D6
indacaterol	1	3A457
indinavir	4	3A457
indometacin	1	2C19
insulin	3	1A2
irbesartan	1	2C9
irinotecan	1	3A457
isavuconazole	1	3A457
isoflurane	1	2E1
isoniazid	2	2C19,2C9
isoniazid	3	2E1
itraconazole	2	3A457
ivabradine	1	3A457
ivacaftor	1	3A457
ketamine	1	2B6
ketoconazole	2	2C19,3A457
labetalol	1	2C19
lansoprazole	1	3A457
lansoprazole	4	2C19
lapatinib	2	2C8
lenvatinib	1	3A457
lercanidipine	1	3A457
lesinurad	1	2C9
lesinurad	2	3A457
letermovir	1	2D6
letermovir	2	2C8,3A457
letermovir	3	2B6,2C19,2C9
levacetylmethadol	1	3A457
levomepromazine	2	2D6
lidocaine	1	2D6,3A457
linagliptin	1	3A457
lorcaserin	2	2D6
lorlatinib	3	3A457
lornoxicam	1	2C9
losartan	1	2C9
lovastatin	1	3A457
luliconazole	2	2C19
macitentan	1	3A457
meloxicam	1	2C9
meperidine	1	2B6
mephenytoin	1	2C19
methadone	1	2B6,3A457
methadone	2	2D6
methoxsalen	2	1A2
methoxyflurane	1	2E1
methylphenobarbital	1	2C19
metoclopramide	4	2D6
metoprolol	1	2D6
metronidazole	2	2C9
mexiletine	1	1A2,2D6
mibefradil	2	3A457
midazolam	1	3A457
