atc3_S	atc4_S [drugs_S]	atc3_T	atc4_T [drugs_T]	Patients	ade	CYPS
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,omeprazole,pantoprazole]	Selective calcium channel blockers with mainly vascular effects (C08C)	Dihydropyridine derivatives (C08CA) [amlodipine,felodipine,lercanidipine,nifedipine,nisoldipine,nitrendipine]	384	Hypotension	3A457
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,pantoprazole]	Antithrombotic agents (B01A)	Vitamin K antagonists (B01AA) [warfarin]	304	Bleeding	2C19
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,omeprazole,pantoprazole]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [atorvastatin]	284	Myopathy	3A457
Antiarrhythmics, class i and iii (C01B)	Antiarrhythmics, class III (C01BD) [amiodarone]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	240		3A457
Antiarrhythmics, class i and iii (C01B)	Antiarrhythmics, class III (C01BD) [amiodarone]	Antithrombotic agents (B01A)	Vitamin K antagonists (B01AA) [warfarin]	114	Bleeding	1A2,2C9
Antiarrhythmics, class i and iii (C01B)	Antiarrhythmics, class III (C01BD) [amiodarone]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [atorvastatin,fluvastatin]	73	Myopathy	3A457
Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [ticlopidine]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	230		2C19
Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [ticlopidine]	Beta blocking agents (C07A)	Alpha and beta blocking agents (C07AG) [carvedilol]	41		2D6
Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [ticlopidine]	Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [citalopram,escitalopram,fluoxetine,fluvoxamine,paroxetine]	32		2C19,2D6
Selective calcium channel blockers with direct cardiac effects (C08D)	Benzothiazepine derivatives (C08DB) [diltiazem]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	117		3A457
Selective calcium channel blockers with direct cardiac effects (C08D)	Phenylalkylamine derivatives (C08DA) [verapamil]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	57		3A457
Selective calcium channel blockers with direct cardiac effects (C08D)	Benzothiazepine derivatives (C08DB) [diltiazem]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [atorvastatin]	23	Myopathy	3A457
Selective calcium channel blockers with direct cardiac effects (C08D)	Benzothiazepine derivatives (C08DB) [diltiazem]	Adrenergics, inhalants (R03A)	Selective beta-2-adrenoreceptor agonists (R03AC) [indacaterol,salmeterol]	23		3A457
Quinolone antibacterials (J01M)	Fluoroquinolones (J01MA) [ciprofloxacin,norfloxacin]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	97		3A457
Quinolone antibacterials (J01M)	Fluoroquinolones (J01MA) [ciprofloxacin,norfloxacin]	Selective calcium channel blockers with mainly vascular effects (C08C)	Dihydropyridine derivatives (C08CA) [amlodipine,felodipine,lercanidipine,nifedipine,nisoldipine,nitrendipine]	25	Hypotension	3A457
Quinolone antibacterials (J01M)	Fluoroquinolones (J01MA) [ciprofloxacin]	Antithrombotic agents (B01A)	Vitamin K antagonists (B01AA) [warfarin]	15	Bleeding	1A2
Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [citalopram,fluoxetine,fluvoxamine]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	65		2C19
Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [citalopram,escitalopram,fluoxetine,paroxetine,sertraline]	Beta blocking agents (C07A)	Alpha and beta blocking agents (C07AG) [carvedilol]	32		2D6
Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [citalopram,escitalopram,fluoxetine,paroxetine,sertraline]	Beta blocking agents (C07A)	Beta blocking agents, selective (C07AB) [metoprolol,nebivolol]	30		2D6
Antimycotics for systemic use (J02A)	Triazole derivatives (J02AC) [fluconazole,itraconazole,voriconazole]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	41		3A457
Antimycotics for systemic use (J02A)	Triazole derivatives (J02AC) [fluconazole,itraconazole,voriconazole]	Adrenergics, inhalants (R03A)	Selective beta-2-adrenoreceptor agonists (R03AC) [indacaterol,salmeterol]	13		3A457
Antimycotics for systemic use (J02A)	Triazole derivatives (J02AC) [fluconazole,itraconazole,voriconazole]	Selective calcium channel blockers with mainly vascular effects (C08C)	Dihydropyridine derivatives (C08CA) [amlodipine,felodipine,lercanidipine,nifedipine,nisoldipine,nitrendipine]	8	Hypotension	3A457
Macrolides, lincosamides and streptogramins (J01F)	Macrolides (J01FA) [clarithromycin]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	31		3A457
Macrolides, lincosamides and streptogramins (J01F)	Macrolides (J01FA) [clarithromycin]	Selective calcium channel blockers with mainly vascular effects (C08C)	Dihydropyridine derivatives (C08CA) [amlodipine,felodipine,lercanidipine,nifedipine,nisoldipine,nitrendipine]	10	Hypotension	3A457
Macrolides, lincosamides and streptogramins (J01F)	Macrolides (J01FA) [clarithromycin]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [atorvastatin]	4	Myopathy	3A457
Opioids (N02A)	Oripavine derivatives (N02AE) [buprenorphine]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	16		3A457
Antipsychotics (N05A)	Butyrophenone derivatives (N05AD) [haloperidol]	Beta blocking agents (C07A)	Alpha and beta blocking agents (C07AG) [carvedilol]	9		2D6
Antipsychotics (N05A)	Butyrophenone derivatives (N05AD) [haloperidol]	Beta blocking agents (C07A)	Beta blocking agents, selective (C07AB) [metoprolol,nebivolol]	7		2D6
Antipsychotics (N05A)	Butyrophenone derivatives (N05AD) [haloperidol]	Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [citalopram,escitalopram,fluoxetine,fluvoxamine,paroxetine]	4		2D6
Drugs for treatment of tuberculosis (J04A)	Hydrazides (J04AC) [isoniazid]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	6		2C19
Propulsives (A03F)	Propulsives (A03FA) [metoclopramide]	Opioids (N02A)	Natural opium alkaloids (N02AA) [oxycodone]	6	Sedation and respiratory depression	2D6
Propulsives (A03F)	Propulsives (A03FA) [metoclopramide]	Beta blocking agents (C07A)	Beta blocking agents, selective (C07AB) [metoprolol,nebivolol]	3		2D6
