atc3_S	atc4_S [drugs_S]	atc3_T	atc4_T [drugs_T]	Patients	thf	CYPS
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [clopidogrel]	242	Reduced anticoagulant effect	2C19,3A457
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,omeprazole,pantoprazole]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [lovastatin,simvastatin]	223		3A457
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,omeprazole,pantoprazole]	Opioids (N02A)	Other opioids (N02AX) [tramadol]	52	Reduced analgesic effect	3A457
Antiarrhythmics, class i and iii (C01B)	Antiarrhythmics, class III (C01BD) [amiodarone]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [lovastatin,simvastatin]	41		3A457
Antiarrhythmics, class i and iii (C01B)	Antiarrhythmics, class III (C01BD) [amiodarone]	Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [clopidogrel]	30	Reduced anticoagulant effect	2C9,3A457
Antiarrhythmics, class i and iii (C01B)	Antiarrhythmics, class III (C01BD) [amiodarone]	Angiotensin ii receptor blockers (arbs), plain (C09C)	Angiotensin II receptor blockers, plain (C09CA) [losartan]	21	Reduced antihypertensive effect	2C9
Selective calcium channel blockers with direct cardiac effects (C08D)	Benzothiazepine derivatives (C08DB) [diltiazem]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [lovastatin,simvastatin]	26		3A457
Selective calcium channel blockers with direct cardiac effects (C08D)	Benzothiazepine derivatives (C08DB) [diltiazem]	Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [clopidogrel]	15	Reduced anticoagulant effect	3A457
Selective calcium channel blockers with direct cardiac effects (C08D)	Phenylalkylamine derivatives (C08DA) [verapamil]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [lovastatin,simvastatin]	11		3A457
Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [citalopram,fluoxetine,fluvoxamine,paroxetine]	Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [clopidogrel]	16	Reduced anticoagulant effect	2C19
Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [citalopram,escitalopram,fluoxetine,fluvoxamine,paroxetine,sertraline]	Opioids (N02A)	Other opioids (N02AX) [tramadol]	11	Reduced analgesic effect	2D6
Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [fluvoxamine,paroxetine]	Angiotensin ii receptor blockers (arbs), plain (C09C)	Angiotensin II receptor blockers, plain (C09CA) [losartan]	6	Reduced antihypertensive effect	2C9
Quinolone antibacterials (J01M)	Fluoroquinolones (J01MA) [ciprofloxacin,norfloxacin]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [lovastatin,simvastatin]	13		3A457
Quinolone antibacterials (J01M)	Fluoroquinolones (J01MA) [ciprofloxacin,norfloxacin]	Opioids (N02A)	Other opioids (N02AX) [tramadol]	8	Reduced analgesic effect	3A457
Quinolone antibacterials (J01M)	Fluoroquinolones (J01MA) [ciprofloxacin,norfloxacin]	Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [clopidogrel]	7	Reduced anticoagulant effect	3A457
Antithrombotic agents (B01A)	Platelet aggregation inhibitors excl. heparin (B01AC) [clopidogrel,ticlopidine]	Opioids (N02A)	Other opioids (N02AX) [tramadol]	11	Reduced analgesic effect	2B6
Lipid modifying agents, plain (C10A)	Fibrates (C10AB) [fenofibrate]	Angiotensin ii receptor blockers (arbs), plain (C09C)	Angiotensin II receptor blockers, plain (C09CA) [losartan]	5	Reduced antihypertensive effect	2C9
Macrolides, lincosamides and streptogramins (J01F)	Macrolides (J01FA) [clarithromycin]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [lovastatin,simvastatin]	4		3A457
