drug_S	action	drug_T	cyps
abiraterone	enhances	alprenolol	2D6
abiraterone	enhances	amfetamine	2D6
abiraterone	enhances	amitriptyline	2D6
abiraterone	enhances	amodiaquine	2C8
abiraterone	enhances	aripiprazole	2D6
abiraterone	enhances	atomoxetine	2D6
abiraterone	enhances	brexpiprazole	2D6
abiraterone	enhances	cariprazine	2D6
abiraterone	enhances	carvedilol	2D6
abiraterone	enhances	cerivastatin	2C8
abiraterone	enhances	chlorpheniramine	2D6
abiraterone	enhances	chlorpromazine	2D6
abiraterone	enhances	citalopram	2D6
abiraterone	enhances	clomipramine	2D6
abiraterone	enhances	clonidine	2D6
abiraterone	enhances	codeine	2D6
abiraterone	enhances	dabrafenib	2C8
abiraterone	enhances	debrisoquine	2D6
abiraterone	enhances	desipramine	2D6
abiraterone	enhances	dexfenfluramine	2D6
abiraterone	enhances	dextromethorphan	2D6
abiraterone	enhances	donepezil	2D6
abiraterone	enhances	doxepin	2D6
abiraterone	enhances	duloxetine	2D6
abiraterone	enhances	eliglustat	2D6
abiraterone	enhances	encainide	2D6
abiraterone	enhances	enzalutamide	2C8
abiraterone	enhances	escitalopram	2D6
abiraterone	enhances	flecainide	2D6
abiraterone	enhances	fluoxetine	2D6
abiraterone	enhances	fluvoxamine	2D6
abiraterone	enhances	haloperidol	2D6
abiraterone	enhances	ibrutinib	2D6
abiraterone	enhances	imipramine	2D6
abiraterone	enhances	letermovir	2D6
abiraterone	enhances	lidocaine	2D6
abiraterone	enhances	metoclopramide	2D6
abiraterone	enhances	metoprolol	2D6
abiraterone	enhances	mexiletine	2D6
abiraterone	enhances	minaprine	2D6
abiraterone	enhances	nebivolol	2D6
abiraterone	enhances	nortriptyline	2D6
abiraterone	enhances	olodaterol	2C8
abiraterone	enhances	ondansetron	2D6
abiraterone	enhances	oxycodone	2D6
abiraterone	enhances	paclitaxel	2C8
abiraterone	enhances	palonosetron	2D6
abiraterone	enhances	paroxetine	2D6
abiraterone	enhances	perhexiline	2D6
abiraterone	enhances	perphenazine	2D6
abiraterone	enhances	phenacetin	2D6
abiraterone	enhances	phenformin	2D6
abiraterone	enhances	pimavanserin	2D6
abiraterone	enhances	pomalidomide	2D6
abiraterone	enhances	ponatinib	2C8,2D6
abiraterone	enhances	promethazine	2D6
abiraterone	enhances	propafenone	2D6
abiraterone	enhances	propranolol	2D6
abiraterone	enhances	repaglinide	2C8
abiraterone	enhances	risperidone	2D6
abiraterone	enhances	rucaparib	2D6
abiraterone	enhances	selexipag	2C8
abiraterone	enhances	sorafenib	2C8
abiraterone	enhances	sparteine	2D6
abiraterone	enhances	tamoxifen	2D6
abiraterone	enhances	tetrabenazine	2D6
abiraterone	enhances	thioridazine	2D6
abiraterone	enhances	timolol	2D6
abiraterone	enhances	torasemide	2C8
abiraterone	enhances	tramadol	2D6
abiraterone	enhances	tucatinib	2C8
abiraterone	enhances	umeclidinium	2D6
abiraterone	enhances	valbenazine	2D6
abiraterone	enhances	venlafaxine	2D6
abiraterone	enhances	vilazodone	2D6
abiraterone	enhances	zuclopenthixol	2D6
amiodarone	enhances	abemaciclib	3A457
amiodarone	enhances	abiraterone	3A457
amiodarone	enhances	acalabrutinib	3A457
amiodarone	enhances	acetaminophen	1A2
amiodarone	enhances	alectinib	3A457
amiodarone	enhances	alfentanil	3A457
amiodarone	enhances	alprazolam	3A457
amiodarone	enhances	alprenolol	2D6
amiodarone	enhances	amfetamine	2D6
amiodarone	enhances	amitriptyline	1A2,2C9,2D6,3A457
amiodarone	enhances	amlodipine	3A457
amiodarone	enhances	apixaban	3A457
amiodarone	enhances	apremilast	1A2
amiodarone	enhances	aprepitant	3A457
amiodarone	enhances	aripiprazole	2D6,3A457
amiodarone	enhances	astemizole	3A457
amiodarone	enhances	atomoxetine	2D6
amiodarone	enhances	atorvastatin	3A457
amiodarone	enhances	avanafil	3A457
amiodarone	enhances	axitinib	3A457
amiodarone	enhances	azilsartan	2C9
amiodarone	enhances	boceprevir	3A457
amiodarone	enhances	bosutinib	3A457
amiodarone	enhances	brexpiprazole	2D6,3A457
amiodarone	enhances	brigatinib	3A457
amiodarone	enhances	buspirone	3A457
amiodarone	enhances	caffeine	1A2,3A457
amiodarone	enhances	capecitabine	2C9
amiodarone	enhances	carbamazepine	3A457
amiodarone	enhances	cariprazine	2D6,3A457
amiodarone	enhances	carvedilol	2D6
amiodarone	enhances	celecoxib	2C9
amiodarone	enhances	ceritinib	3A457
amiodarone	enhances	cerivastatin	3A457
amiodarone	enhances	chlorpheniramine	2D6,3A457
amiodarone	enhances	chlorpromazine	2D6
amiodarone	enhances	cilostazol	3A457
amiodarone	enhances	cisapride	3A457
amiodarone	enhances	citalopram	2D6,3A457
amiodarone	enhances	clarithromycin	3A457
amiodarone	enhances	clobazam	3A457
amiodarone	enhances	clomipramine	1A2,2D6
amiodarone	enhances	clonidine	2D6
amiodarone	enhances	clopidogrel	2C9,3A457
amiodarone	enhances	clozapine	1A2
amiodarone	enhances	cobimetinib	3A457
amiodarone	enhances	cocaine	3A457
amiodarone	enhances	codeine	2D6,3A457
amiodarone	enhances	colchicine	3A457
amiodarone	enhances	copanlisib	3A457
amiodarone	enhances	crizotinib	3A457
amiodarone	enhances	cyclobenzaprine	1A2
amiodarone	enhances	cyclosporine	3A457
amiodarone	enhances	dabrafenib	3A457
amiodarone	enhances	daclatasvir	3A457
amiodarone	enhances	dapsone	3A457
amiodarone	enhances	debrisoquine	2D6
amiodarone	enhances	deflazacort	3A457
amiodarone	enhances	desipramine	2D6
amiodarone	enhances	dexamethasone	3A457
amiodarone	enhances	dexfenfluramine	2D6
amiodarone	enhances	dextromethorphan	2D6,3A457
amiodarone	enhances	diazepam	3A457
amiodarone	enhances	diclofenac	2C9
amiodarone	enhances	diltiazem	3A457
amiodarone	enhances	docetaxel	3A457
amiodarone	enhances	dolutegravir	3A457
amiodarone	enhances	domperidone	3A457
amiodarone	enhances	donepezil	2D6
amiodarone	enhances	doxepin	1A2,2C9,2D6,3A457
amiodarone	enhances	duloxetine	1A2,2D6
amiodarone	enhances	elagolix	3A457
amiodarone	enhances	elbasvir	3A457
amiodarone	enhances	eliglustat	2D6,3A457
amiodarone	enhances	encainide	2D6
amiodarone	enhances	enzalutamide	3A457
amiodarone	enhances	eplerenone	3A457
amiodarone	enhances	ergotamine	3A457
amiodarone	enhances	erythromycin	3A457
amiodarone	enhances	escitalopram	2D6,3A457
amiodarone	enhances	esomeprazole	3A457
amiodarone	enhances	estradiol	1A2,3A457
amiodarone	enhances	felodipine	3A457
amiodarone	enhances	fentanyl	3A457
amiodarone	enhances	finasteride	3A457
amiodarone	enhances	flecainide	2D6
amiodarone	enhances	flibanserin	3A457
amiodarone	enhances	fluoxetine	2C9,2D6
amiodarone	enhances	fluvastatin	2C9
amiodarone	enhances	fluvoxamine	1A2,2D6
amiodarone	enhances	glimepiride	2C9
amiodarone	enhances	glipizide	2C9
amiodarone	enhances	glyburide	2C9
amiodarone	enhances	haloperidol	1A2,2D6,3A457
amiodarone	enhances	hydrocortisone	3A457
amiodarone	enhances	ibrutinib	2D6,3A457
amiodarone	enhances	ibuprofen	2C9
amiodarone	enhances	idelalisib	3A457
amiodarone	enhances	imatinib	3A457
amiodarone	enhances	imipramine	1A2,2D6
amiodarone	enhances	indacaterol	3A457
amiodarone	enhances	indinavir	3A457
amiodarone	enhances	irbesartan	2C9
