id	drug_S	action	cyp	drug_T	class	atc5_S	atc5_T
16	abiraterone	enhances	2D6	codeine	C	L02BX03	R05DA04
21	abiraterone	enhances	2D6	dextromethorphan	C	L02BX03	R05DA09
29	abiraterone	enhances	2D6	flecainide	C	L02BX03	C01BC04
32	abiraterone	enhances	2D6	haloperidol	C	L02BX03	N05AD01
38	abiraterone	enhances	2D6	metoprolol	C	L02BX03	C07AB02
45	abiraterone	enhances	2D6	oxycodone	C	L02BX03	N02AA05
46	abiraterone	enhances	2C8	paclitaxel	B	L02BX03	L01CD01
57	abiraterone	enhances	2D6	propafenone	C	L02BX03	C01BC03
59	abiraterone	enhances	2C8	repaglinide	B	L02BX03	A10BX02
60	abiraterone	enhances	2D6	risperidone	C	L02BX03	N05AX08
70	abiraterone	enhances	2D6	tramadol	C	L02BX03	N02AX02
74	abiraterone	enhances	2D6	venlafaxine	C	L02BX03	N06AX16
86	amiodarone	enhances	1A2,2C9,2D6,3A457	amitriptyline	D	C01BD01	N06AA09
87	amiodarone	enhances	3A457	amlodipine	B	C01BD01	C08CA01
91	amiodarone	enhances	2D6,3A457	aripiprazole	B	C01BD01	N05AX12
93	amiodarone	enhances	2D6	atomoxetine	D	C01BD01	N06BA09
94	amiodarone	enhances	3A457	atorvastatin	B	C01BD01	C10AA05
107	amiodarone	enhances	2D6	carvedilol	C	C01BD01	C07AG02
112	amiodarone	enhances	2D6	chlorpromazine	D	C01BD01	N05AA01
113	amiodarone	enhances	3A457	cilostazol	D	C01BD01	B01AC23
115	amiodarone	enhances	2D6,3A457	citalopram	D	C01BD01	N06AB04
116	amiodarone	enhances	3A457	clarithromycin	D	C01BD01	J01FA09
118	amiodarone	enhances	1A2,2D6	clomipramine	D	C01BD01	N06AA04
120	amiodarone	enhances	2C9,3A457	clopidogrel	B	C01BD01	B01AC04
121	amiodarone	enhances	1A2	clozapine	D	C01BD01	N05AH02
123	amiodarone	enhances	3A457	cocaine	D	C01BD01	N01BC01
125	amiodarone	enhances	3A457	colchicine	B	C01BD01	M04AC01
129	amiodarone	enhances	3A457	cyclosporine	C	C01BD01	L04AD01
141	amiodarone	enhances	3A457	diltiazem	D	C01BD01	C08DB01
142	amiodarone	enhances	3A457	docetaxel	B	C01BD01	L01CD02
144	amiodarone	enhances	3A457	domperidone	D	C01BD01	A03FA03
145	amiodarone	enhances	2D6	donepezil	D	C01BD01	N06DA02
153	amiodarone	enhances	3A457	eplerenone	C	C01BD01	C03DA04
154	amiodarone	enhances	3A457	ergotamine	B	C01BD01	N02CA02
155	amiodarone	enhances	3A457	erythromycin	D	C01BD01	J01FA01
156	amiodarone	enhances	2D6,3A457	escitalopram	D	C01BD01	N06AB10
159	amiodarone	enhances	3A457	felodipine	D	C01BD01	C08CA02
160	amiodarone	enhances	3A457	fentanyl	B	C01BD01	N01AH01
162	amiodarone	enhances	2D6	flecainide	D	C01BD01	C01BC04
164	amiodarone	enhances	2C9,2D6	fluoxetine	D	C01BD01	N06AB03
165	amiodarone	enhances	2C9	fluvastatin	B	C01BD01	C10AA04
167	amiodarone	enhances	2C9	glimepiride	B	C01BD01	A10BB12
168	amiodarone	enhances	2C9	glipizide	B	C01BD01	A10BB07
169	amiodarone	enhances	2C9	glyburide	B	C01BD01	A10BB01
170	amiodarone	enhances	1A2,2D6,3A457	haloperidol	D	C01BD01	N05AD01
171	amiodarone	enhances	3A457	hydrocortisone	D	C01BD01	H02AB09
173	amiodarone	enhances	2C9	ibuprofen	B	C01BD01	M01AE01
175	amiodarone	enhances	3A457	imatinib	B	C01BD01	L01XE01
176	amiodarone	enhances	1A2,2D6	imipramine	D	C01BD01	N06AA02
178	amiodarone	enhances	3A457	indinavir	B	C01BD01	J05AE02
179	amiodarone	enhances	2C9	irbesartan	B	C01BD01	C09CA04
186	amiodarone	enhances	3A457	lercanidipine	C	C01BD01	C08CA13
194	amiodarone	enhances	3A457	lovastatin	C	C01BD01	C10AA02
196	amiodarone	enhances	2C9	meloxicam	B	C01BD01	M01AC06
197	amiodarone	enhances	3A457	methadone	D	C01BD01	N07BC02
198	amiodarone	enhances	2D6	metoclopramide	D	C01BD01	A03FA01
199	amiodarone	enhances	2D6	metoprolol	B	C01BD01	C07AB02
206	amiodarone	enhances	1A2,2C9	naproxen	B	C01BD01	M01AE02
208	amiodarone	enhances	2D6	nebivolol	B	C01BD01	C07AB12
209	amiodarone	enhances	3A457	nelfinavir	D	C01BD01	J05AE04
211	amiodarone	enhances	3A457	nevirapine	C	C01BD01	J05AG01
212	amiodarone	enhances	3A457	nifedipine	B	C01BD01	C08CA05
213	amiodarone	enhances	3A457	nisoldipine	D	C01BD01	C08CA07
214	amiodarone	enhances	3A457	nitrendipine	D	C01BD01	C08CA08
215	amiodarone	enhances	2D6	nortriptyline	D	C01BD01	N06AA10
216	amiodarone	enhances	1A2	olanzapine	D	C01BD01	N05AH03
220	amiodarone	enhances	1A2,2D6,3A457	ondansetron	D	C01BD01	A04AA01
224	amiodarone	enhances	3A457	paclitaxel	B	C01BD01	L01CD01
229	amiodarone	enhances	2D6	paroxetine	D	C01BD01	N06AB05
235	amiodarone	enhances	2C9	phenytoin	B	C01BD01	N03AB02
237	amiodarone	enhances	3A457	pimozide	D	C01BD01	N05AG02
239	amiodarone	enhances	2C9	piroxicam	B	C01BD01	M01AC01
243	amiodarone	enhances	2D6	promethazine	D	C01BD01	R06AD02
244	amiodarone	enhances	2D6	propafenone	D	C01BD01	C01BC03
245	amiodarone	enhances	1A2,2D6,3A457	propranolol	B	C01BD01	C07AA05
246	amiodarone	enhances	3A457	quetiapine	D	C01BD01	N05AH04
247	amiodarone	enhances	3A457	quinidine	D	C01BD01	C01BA01
248	amiodarone	enhances	3A457	quinine	D	C01BD01	P01BC01
251	amiodarone	enhances	3A457	rilpivirine	D	C01BD01	J05AG05
253	amiodarone	enhances	2D6,3A457	risperidone	D	C01BD01	N05AX08
254	amiodarone	enhances	3A457	ritonavir	D	C01BD01	J05AE03
259	amiodarone	enhances	1A2	ropivacaine	B	C01BD01	N01BB09
263	amiodarone	enhances	3A457	salmeterol	D	C01BD01	R03AC12
264	amiodarone	enhances	3A457	saquinavir	D	C01BD01	J05AE01
266	amiodarone	enhances	3A457	sildenafil	C	C01BD01	G04BE03
268	amiodarone	enhances	3A457	simvastatin	C	C01BD01	C10AA01
269	amiodarone	enhances	3A457	sirolimus	C	C01BD01	L04AA10
271	amiodarone	enhances	3A457	sorafenib	D	C01BD01	L01XE05
273	amiodarone	enhances	3A457	sunitinib	D	C01BD01	L01XE04
277	amiodarone	enhances	3A457	tacrolimus	D	C01BD01	L04AD02
279	amiodarone	enhances	2C9,2D6,3A457	tamoxifen	D	C01BD01	L02BA01
281	amiodarone	enhances	3A457	telaprevir	D	C01BD01	J05AP02
